=== System Monitor Log Started at 2025-08-11 00.17.33 ===
[2025-08-10 18.47.35] CPU: 95.1% | RAM: 59.5MB/7934.4MB (0.7%) | Disk: 470736.7MB/487109.0MB (96.6%) | Time: 18.47.35
[2025-08-10 18.47.41] CPU: 46.1% | RAM: 60.0MB/7934.4MB (0.8%) | Disk: 470737.0MB/487109.0MB (96.6%) | Time: 18.47.41
[2025-08-10 18.47.46] CPU: 29.3% | RAM: 60.2MB/7934.4MB (0.8%) | Disk: 470737.0MB/487109.0MB (96.6%) | Time: 18.47.46
[2025-08-10 18.47.51] CPU: 29.3% | RAM: 60.5MB/7934.4MB (0.8%) | Disk: 470737.5MB/487109.0MB (96.6%) | Time: 18.47.51
[2025-08-10 18.47.57] CPU: 32.6% | RAM: 60.4MB/7934.4MB (0.8%) | Disk: 470737.5MB/487109.0MB (96.6%) | Time: 18.47.57
[2025-08-10 18.48.02] CPU: 28.6% | RAM: 60.4MB/7934.4MB (0.8%) | Disk: 470737.7MB/487109.0MB (96.6%) | Time: 18.48.02
[2025-08-10 18.48.07] CPU: 27.8% | RAM: 60.5MB/7934.4MB (0.8%) | Disk: 470738.8MB/487109.0MB (96.6%) | Time: 18.48.07
[2025-08-10 18.48.12] CPU: 29.6% | RAM: 60.6MB/7934.4MB (0.8%) | Disk: 470738.8MB/487109.0MB (96.6%) | Time: 18.48.12
[2025-08-10 18.48.17] CPU: 48.9% | RAM: 60.7MB/7934.4MB (0.8%) | Disk: 470738.9MB/487109.0MB (96.6%) | Time: 18.48.17
[2025-08-10 18.48.28] CPU: 47.0% | RAM: 60.8MB/7934.4MB (0.8%) | Disk: 470738.9MB/487109.0MB (96.6%) | Time: 18.48.28
[2025-08-10 18.48.33] CPU: 40.1% | RAM: 60.9MB/7934.4MB (0.8%) | Disk: 470737.8MB/487109.0MB (96.6%) | Time: 18.48.33
[2025-08-10 18.48.38] CPU: 26.2% | RAM: 61.1MB/7934.4MB (0.8%) | Disk: 470737.8MB/487109.0MB (96.6%) | Time: 18.48.38
[2025-08-10 18.48.43] CPU: 38.6% | RAM: 61.2MB/7934.4MB (0.8%) | Disk: 470737.9MB/487109.0MB (96.6%) | Time: 18.48.43
[2025-08-10 18.48.48] CPU: 48.8% | RAM: 61.3MB/7934.4MB (0.8%) | Disk: 470738.9MB/487109.0MB (96.6%) | Time: 18.48.48
[2025-08-10 18.48.54] CPU: 28.1% | RAM: 61.4MB/7934.4MB (0.8%) | Disk: 470738.9MB/487109.0MB (96.6%) | Time: 18.48.54
[2025-08-10 18.48.59] CPU: 35.6% | RAM: 61.8MB/7934.4MB (0.8%) | Disk: 470739.1MB/487109.0MB (96.6%) | Time: 18.48.59
[2025-08-10 18.49.04] CPU: 30.4% | RAM: 62.0MB/7934.4MB (0.8%) | Disk: 470740.7MB/487109.0MB (96.6%) | Time: 18.49.04
[2025-08-10 18.49.10] CPU: 27.9% | RAM: 61.9MB/7934.4MB (0.8%) | Disk: 470740.7MB/487109.0MB (96.6%) | Time: 18.49.10
[2025-08-10 18.49.15] CPU: 35.8% | RAM: 62.0MB/7934.4MB (0.8%) | Disk: 470772.3MB/487109.0MB (96.6%) | Time: 18.49.15
[2025-08-10 18.49.20] CPU: 37.9% | RAM: 62.1MB/7934.4MB (0.8%) | Disk: 470743.1MB/487109.0MB (96.6%) | Time: 18.49.20
[2025-08-10 18.49.26] CPU: 31.1% | RAM: 62.2MB/7934.4MB (0.8%) | Disk: 470752.5MB/487109.0MB (96.6%) | Time: 18.49.26
[2025-08-10 18.49.32] CPU: 31.5% | RAM: 62.4MB/7934.4MB (0.8%) | Disk: 470753.5MB/487109.0MB (96.6%) | Time: 18.49.32
